"","coords.x1","coords.x2","collection_no"
"49",-30.7702427730648,-59.8165015642513,86278
"50",-30.7563789411048,-59.8122961780788,86279
"51",-30.731075224185,-59.8110182240218,86280
"52",-30.7036852595839,-59.7886366668569,86282
"53",-30.7029578487414,-59.7752168163297,86284
"54",-30.6894467765695,-59.7748981442567,86285
"55",-30.660922423427,-59.763215660008,86286
"56",-30.6648724449001,-59.762781263097,86296
"57",-30.7067711971105,-59.756384842692,86297
"58",-30.7103573809241,-59.7635236049598,86298
"59",-30.7296781450261,-59.7676277123223,86299
"60",-30.7369301835152,-59.7589672303802,86300
"61",-30.7739779469357,-59.7347038691286,86301
"62",-30.7805823961361,-59.7361063481519,86302
"63",-30.6796863286572,-59.7679730064324,86303
"64",38.5514531080861,28.844401850748,86346
"65",39.8453670609794,31.8183027020339,86356
"66",46.3064812309739,30.560965572875,86484
"67",14.8415770244048,17.6286181401578,87004
"68",9.78139103168492,-54.8447288104343,88618
"69",1.31883213988903,3.25125982908586,89607
"70",13.3070038651786,20.4656781543144,92323
"71",26.9847258712675,-52.1151970515453,92491
"72",91.1478996046789,29.7506665540275,92907
"73",91.4691074383597,26.9867973921235,92909
"74",36.4050661661022,32.1065161610011,93016
"75",37.1598542386844,33.9399464290362,93025
"76",38.8952052787139,29.0080514805553,93026
"77",48.9990019379747,29.7932441681209,93027
"78",46.7335923998189,30.09879102368,93030
"79",23.0319466952652,15.655297769399,93033
"80",23.0917700602742,15.6237430989983,93034
"81",23.7232646227228,16.6648522072714,93035
"82",22.8473918086735,15.7046170197378,93036
"83",48.8388542116232,30.0780162643752,93207
"84",92.001532597662,31.1814915370152,93536
"85",-27.7712409593349,-62.1459893055291,98601
"86",-28.7989333153133,-61.7620637281181,114631
"87",-30.8580127158493,-57.7954281866586,115685
"88",-25.1551883262547,-62.0248210642787,115686
"89",-28.7621708223329,-61.3392090941736,116452
"90",-27.9102959453716,-62.1819154449889,119437
"91",40.1101320600538,32.5361914670373,119783
"92",40.1699592457588,34.0401061313251,120215
"93",36.5453930660066,32.7244598823594,124277
"94",-30.2109734005976,-59.5317536560701,131112
"95",14.9604100340919,-54.4909446879184,135698
"96",14.8861717001579,-54.6383315430568,135700
"97",147.058623247607,-68.5257571184619,136494
"98",-29.2381265363464,-61.9568427919957,144271
"99",-28.803811465329,-62.0543346861065,144272
"100",-29.2531163694836,-61.48422236071,144682
"101",14.9166079910698,17.7486745446913,149620
"102",14.5486340810207,-54.7213173249741,149622
"103",36.4050661661022,32.1065161610011,149692
"104",91.437209612125,26.9824895831584,171025
"105",-28.2287382471915,-61.9229764680887,171337
"106",24.5140299362888,-51.4443446705731,171354
"107",26.3703469826457,-52.3829084467617,171355
"108",-28.80181170718,-61.7166164413225,171376
"109",-29.7140259772661,-60.3073590341057,171377
"110",-28.2287382471915,-61.9229764680887,171378
"111",15.0237333216832,-54.491987027847,171379
"112",-28.589464168633,-61.9116632054401,171384
