collection_no,lng,lat,n_occs,early_interval,late_interval,max_ma,min_ma,cc,formation,stratgroup,member,zone,lithology1,environment,collection_size
195572,13.743611,46.658611,2,Longobardian,,242,235,AT,Partnach,,,,"""limestone""",marine indet.,
195612,19.039167,50.389999,2,Spathian,,251.3,247.2,PL,Röt,,,,marl,marine indet.,
195613,18.947779,50.486942,1,Anisian,,247.2,242,PL,,Muschelkalk,,,"""limestone""",marine indet.,
195708,10.790278,49.5,1,Carnian,,237,228,DE,Stuttgart,,Ansbacher Sandstein,,sandstone,terrestrial indet.,
195709,10.663056,50.036388,1,Tuvalian,,232,221.5,DE,Hassberge,,Coburger Sandstein,,sandstone,terrestrial indet.,
195710,-8.971667,31.070833,5,Carnian,,237,228,MA,Timezgadiouine,,Irohalene (T5),,sandstone,fluvial indet.,
195711,-1.572222,39.748611,12,Ladinian,,242,237,ES,Cañete,Muschelkalk,,,"""limestone""",carbonate indet.,
195751,105.422096,25.867914,1,Carnian,,237,228,CN,Falang,,Lower Wayao,,marl,coastal indet.,1 specimens
195786,51.69611,52.807499,6,Olenekian,,251.2,247.2,RU,Kamennyi Yar,,Rybinskian,,sandstone,terrestrial indet.,
195796,51.69611,52.807499,1,Induan,,252.17,251.2,RU,Kamennyi Yar,,Vokhminskian,,sandstone,terrestrial indet.,
195797,51.779167,52.797222,7,Olenekian,,251.2,247.2,RU,Mechet',,Sludkian,,sandstone,"""channel""",
195802,52.256668,52.355831,1,Smithian,,251.3,247.2,RU,Vetlugian,,Sludkinsk,,not reported,terrestrial indet.,
195803,49.695278,52.999168,1,Smithian,,251.3,247.2,RU,Vetlugian,,Sludkinsk,,not reported,terrestrial indet.,
195805,54.501389,51.86972,8,Induan,,252.17,251.2,RU,Sukhorechka,,,,not reported,terrestrial indet.,
195806,55.695831,52.519722,2,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,conglomerate,"""channel""",
195807,55.761665,52.429443,3,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,"""channel""",
195808,55.760555,52.431389,3,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195809,55.716667,52.420834,1,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,"""channel""",
195810,55.534721,52.402779,2,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,"""channel""",
195811,55.908054,52.16111,2,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,"""channel""",
195812,55.889999,52.153332,3,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,"""channel""",
195813,55.850834,52.163891,2,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,fine channel fill,
195814,55.844166,52.15472,2,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,fine channel fill,
195815,55.722221,52.030277,3,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,delta plain,
195816,55.647499,52.029999,3,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,"""channel""",
195817,56.053333,51.557499,1,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195818,56.031944,51.628334,1,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195819,56.031944,51.628334,1,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195820,55.7925,51.71389,1,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,"""channel""",
195821,55.677776,51.798611,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,delta plain,
195822,55.89389,51.283611,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,delta plain,
195823,55.89389,51.283611,5,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,delta plain,
195824,54.661667,51.399723,2,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,"""channel""",
195825,55.202221,51.446667,5,Spathian,,251.3,247.2,RU,Petropavlovka,,,,sandstone,"""channel""",
195826,54.82,51.323891,1,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195827,54.434444,51.255833,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195828,54.378613,51.319443,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195829,54.312778,51.296112,3,Olenekian,,251.2,247.2,RU,Gostevskaya,,,,sandstone,"""channel""",
195830,53.9025,51.614445,3,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195831,53.856667,51.588612,4,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195832,53.800556,51.612778,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195834,54.175278,51.854721,1,Induan,,252.17,251.2,RU,Kopanskaya,,,,sandstone,delta plain,
195835,53.980278,51.867222,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195836,53.631111,51.895832,1,Spathian,,251.3,247.2,RU,Petropavlovskaya,,,,sandstone,"""channel""",
195837,53.640556,51.888889,1,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195838,53.343056,52.22139,1,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195839,53.328888,52.22361,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195840,53.300556,52.209721,2,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
195841,53.234722,52.200001,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,"""channel""",
195842,52.997501,52.084442,2,Olenekian,,251.2,247.2,RU,Kzylsaiskaya,,,,sandstone,delta plain,
195843,53.142223,52.21722,1,Olenekian,,251.2,247.2,RU,Gostevskaya,,,,sandstone,delta plain,
195844,53.076389,52.206112,3,Smithian,,251.3,247.2,RU,Staritskaya,,,,sandstone,"""channel""",
