collection_no,lng,lat,n_occs,early_interval,late_interval,max_ma,min_ma,cc,formation,stratgroup,member,zone,lithology1,environment,collection_size
26976,10.016667,51.666668,12,Changhsingian,,254.17,252.17,DE,Strassfurt,Zechstein,Grey Pelite T3-b,,siltstone,marine indet.,
26977,10,51.150002,15,Changhsingian,,254.17,252.17,DE,Leine,Zechstein,Platy Dolomite Ca3,,dolomite,marine indet.,
26979,10.666667,52.116669,16,Changhsingian,,254.17,252.17,DE,Leine,Zechstein,Platy Dolomite Ca3,,dolomite,marine indet.,
26980,10.216667,51.950001,10,Changhsingian,,254.17,252.17,DE,Aller,Zechstein,Red Saltclay,,claystone,marine indet.,
26982,9.15,50.366669,,Changhsingian,,254.17,252.17,DE,Leine,Zechstein,Platy Dolomite Ca3,,dolomite,marine indet.,
26995,-22.555555,71.371391,8,Norian,,228,208.5,GL,Fleming Fjord,Scoresby Land,Ørsted Dal,,claystone,lacustrine - small,
26996,-22.568611,71.383614,2,Alaunian,,215.56,212,GL,Fleming Fjord,,Malmros Klint,,mudstone,lacustrine - large,
26997,-22.539444,71.264442,2,Alaunian,,215.56,212,GL,Fleming Fjord,,Ørsted Dal,,mudstone,lacustrine indet.,
26998,-23.513889,71.827499,4,Alaunian,,215.56,212,GL,Fleming Fjord,,Ørsted Dal,,"""siliciclastic""",alluvial fan,
27000,10.216667,51.950001,12,Changhsingian,,254.17,252.17,DE,Leine,Zechstein,Main Anhydrite A3,,evaporite,marine indet.,
27001,10.666667,52.116669,11,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank,,siltstone,marine indet.,
27002,10.666667,52.116669,9,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank,,siltstone,marine indet.,
27003,10.666667,52.116669,16,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank,,claystone,marine indet.,
27004,10.666667,52.116669,18,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank,,claystone,marine indet.,
27005,-22.552778,71.576942,1,Alaunian,,215.56,212,GL,Fleming Fjord,,Ørsted Dal,,mudstone,lacustrine - small,
27006,-22.678612,71.478615,8,Alaunian,,215.56,212,GL,Fleming Fjord,,Ørsted Dal,,claystone,lacustrine indet.,
27008,-22.552778,71.414719,3,Alaunian,,215.56,212,GL,Fleming Fjord,,Østed Dal,,claystone,lacustrine indet.,
27022,10.666667,52.116669,15,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank,,claystone,marine indet.,
27027,15.233333,52.733334,16,Wuchiapingian,Changhsingian,259.9,252.17,PL,,,,,claystone,marine indet.,
27105,-1.266667,52.983334,21,Wuchiapingian,,259.9,254.17,UK,Lower Magnesium Limestone,EZ1,,,"""limestone""",marine indet.,
27106,-1.266667,52.983334,27,Wuchiapingian,,259.9,254.17,UK,Lower Magnesium Limestone,EZ1,,,"""limestone""",marine indet.,
27107,-3.233333,54.116669,14,Wuchiapingian,,259.9,254.17,UK,St Bees Evaporite,,,,siltstone,marine indet.,
27108,-0.25,53.166668,9,Wuchiapingian,Changhsingian,259.9,252.17,UK,Permian Middle Marl,Lower Evaporite (EZ2),,,marl,marine indet.,
27109,-3.6,54.549999,9,Wuchiapingian,Changhsingian,259.9,252.17,UK,St Bees Marls,,,,"""shale""",marine indet.,
27110,-2.216667,53.5,8,Wuchiapingian,Changhsingian,259.9,252.17,UK,Manchester Marls,,,,marl,marine indet.,
27134,110.966667,39.683334,1,Olenekian,Anisian,251.2,242,CN,Heshanggou,,,,sandstone,terrestrial indet.,
27137,10.666667,52.116669,12,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27138,10.666667,52.116669,9,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27139,10.666667,52.116669,14,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27140,10.666667,52.116669,15,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27141,10.666667,52.116669,13,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27142,10.666667,52.116669,15,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27158,110.980553,39.525002,1,Olenekian,Anisian,251.2,242,CN,Heshanggou,,,,sandstone,terrestrial indet.,
27160,110,39.8125,1,Early Triassic,,252.17,247.2,CN,"""Shihtienfeng""",,,,not reported,terrestrial indet.,
27164,10.666667,52.116669,14,Buntsandstein,Griesbachian,265,251.3,DE,Buntsandstein,Buntsandstein,Rogenstein,,claystone,marine indet.,
27165,10.666667,52.116669,15,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27261,10.666667,52.116669,17,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,mudstone,marine indet.,
27264,72.75,35.75,1,Changhsingian,,254.17,252.17,PK,Chhidru,,,,"""limestone""",marine indet.,
27265,-174.833328,-85.133331,2,Early Triassic,,252.17,247.2,AA,Fremouw,Beacon,,Lystrosaurus,mudstone,"""floodplain""",
27266,-174.833328,-85.133331,7,Early Triassic,,252.17,247.2,AA,Fremouw,Beacon,,Lystrosaurus,sandstone,fluvial indet.,
27270,10.666667,52.116669,13,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27271,10.666667,52.116669,,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27272,10.666667,52.116669,16,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27273,10.666667,52.116669,12,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27274,10.666667,52.116669,14,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Rogenstein,,claystone,marine indet.,
27292,10.666667,52.116669,8,Buntsandstein,,265,252.3,DE,Volpriehausen,Buntsandstein,,,claystone,marine indet.,
27293,10.666667,52.116669,15,Buntsandstein,,265,252.3,DE,Solling,Buntsandstein,,,claystone,marine indet.,
27294,10.666667,52.116669,17,Buntsandstein,,265,252.3,DE,Solling,Buntsandstein,,,claystone,marine indet.,
27295,10.666667,52.116669,11,Buntsandstein,,265,252.3,DE,Solling,Buntsandstein,,,claystone,marine indet.,
27297,10.666667,52.116669,5,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank 1,,sandstone,marine indet.,
27298,10.666667,52.116669,10,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank 2,,siltstone,marine indet.,
27317,10.216667,50.950001,6,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank,,siltstone,marine indet.,
27318,10.216667,51.950001,9,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank 2,,siltstone,marine indet.,
27319,10.216667,51.950001,2,Buntsandstein,,265,252.3,DE,Calvoerde,buntsandstein,Graubank 3,,claystone,marine indet.,
27320,10.216667,51.950001,8,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank 3,,siltstone,marine indet.,
27321,10.216667,51.950001,7,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank 4,,siltstone,marine indet.,
27322,10.216667,51.950001,7,Buntsandstein,,265,252.3,DE, Calvoerde,Buntsandstein,Graubank 4,,siltstone,marine indet.,
27327,10.216667,51.950001,10,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27328,10.216667,51.950001,12,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank 4,,siltstone,marine indet.,
27343,43.673058,49.260834,28,Olenekian,,251.2,247.2,RU,Lipovskaya,,,,not reported,terrestrial indet.,
27344,10.216667,51.950001,8,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27345,10.216667,51.950001,10,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27346,10.216667,51.950001,13,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27347,10.216667,51.950001,,Buntsandstein,,265,252.3,DE,Calvoerde,Buntsandstein,Graubank 3,,claystone,marine indet.,
27431,10.216667,51.950001,7,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27432,10.216667,51.950001,1,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27433,10.216667,51.950001,12,Buntsandstein,Griesbachian,265,251.3,DE,Bernburg,Buntsandstein,Roggenstein,,sandstone,marine indet.,
27434,10.216667,51.950001,15,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,,marine indet.,
27435,10.216667,51.950001,11,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,sandstone,marine indet.,
27436,10.216667,51.950001,9,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27437,10.216667,51.950001,13,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27438,10.216667,51.950001,7,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27439,10.216667,51.950001,8,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,claystone,marine indet.,
27577,10.216667,51.950001,8,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27578,10.216667,51.950001,8,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,claystone,marine indet.,
27579,10.216667,51.950001,3,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27580,10.216667,51.950001,10,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27581,10.216667,51.950001,13,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27582,10.216667,51.950001,1,Buntsandstein,,265,252.3,DE,Bernburg,Buntsandstein,Roggenstein,,siltstone,marine indet.,
27587,10.216667,51.950001,3,Buntsandstein,,265,252.3,DE,Wechsel,Buntsandstein,,,claystone,marine indet.,
27590,10.216667,51.950001,8,Buntsandstein,,265,252.3,DE,Wechsel,Buntsandstein,,,claystone,marine indet.,
27597,10.216667,51.950001,7,Buntsandstein,,265,252.3,DE,Wechsel,Buntsandstein,,,claystone,marine indet.,
27598,10.216667,51.950001,1,Buntsandstein,,265,252.3,DE,Wechsel,buntsandstein,,,siltstone,marine indet.,
27642,10.216667,51.950001,6,Buntsandstein,,265,252.3,DE,Wechsel,Buntsandstein,,,claystone,marine indet.,
27643,10.216667,51.950001,9,Buntsandstein,,265,252.3,DE,Wechsel,Buntsandstein,,,siltstone,marine indet.,
27644,10.216667,51.950001,2,Buntsandstein,,265,252.3,DE,Wechsel,Buntsandstein,,,siltstone,marine indet.,
27952,46.634998,61.191113,6,Late Severodvinian,Vyatkian,265,252.3,RU,Salarevo,,,Scutosaurus karpinskii,not reported,terrestrial indet.,
28065,46.634998,61.191113,26,Late Severodvinian,Vyatkian,265,252.3,RU,Salarevo,,,Scutosaurus karpinskii,not reported,terrestrial indet.,
28091,4.616667,47.183334,1,Late Triassic,,237,201.3,FR,,,,,not reported,terrestrial indet.,
28092,4.551389,46.541668,12,Middle Triassic,,247.2,237,FR,,,,,sandstone,terrestrial indet.,
28127,18.616667,47.416668,4,Changhsingian,,254.17,252.17,HU,Dinnyes Dolomite,,Dolomite,,wackestone,lagoonal/restricted shallow subtidal,
28128,18.616667,47.416668,3,Changhsingian,,254.17,252.17,HU,Dinnyes Dolomite,,Dolomite,,wackestone,lagoonal/restricted shallow subtidal,
28129,18.616667,47.416668,5,Changhsingian,,254.17,252.17,HU,Dinnyes Dolomite,,olomite,,mudstone,lagoonal/restricted shallow subtidal,
28130,18.616667,47.416668,,Changhsingian,,254.17,252.17,HU,Dinnyes Dolomite,,Dolomite,,wackestone,lagoonal/restricted shallow subtidal,
28199,18.616667,47.416668,4,Changhsingian,,254.17,252.17,HU,Alcsutdoboz Limestone,,,,wackestone,lagoonal/restricted shallow subtidal,
28200,18.616667,47.416668,7,Changhsingian,,254.17,252.17,HU,Alcsutdoboz Limestone,,,,wackestone,lagoonal/restricted shallow subtidal,
28201,18.616667,47.416668,6,Changhsingian,,254.17,252.17,HU,Alcsutdoboz Limestone,,,,grainstone,lagoonal/restricted shallow subtidal,
28204,18.616667,47.416668,,Griesbachian,,252.17,251.3,HU,Alcsutdoboz Limestone,,,,grainstone,lagoonal/restricted shallow subtidal,
28205,18.616667,47.416668,,Griesbachian,,252.17,251.3,HU,Alcsutdoboz Limestone,,,,grainstone,lagoonal/restricted shallow subtidal,
28396,45.906387,57.884167,19,Induan,,252.17,251.2,RU,Vokhminskaya,,,,not reported,terrestrial indet.,
28397,46.25,57.308334,1,Induan,,252.17,251.2,RU,Vokhminskaya,,,,not reported,terrestrial indet.,
28398,49,58,1,Induan,,252.17,251.2,RU,Vokhminskaya,,,,not reported,terrestrial indet.,
28400,34.766666,31.216667,2,Middle Triassic,,247.2,237,IL,Muschelkalk,,,,,marine indet.,
28462,4.416667,46.900002,13,Anisian,Ladinian,247.2,237,FR,Grès d'Antully,,,,sandstone,lagoonal,
28467,41.54636,57.429253,3,Early Triassic,,252.17,247.2,RU,Vetlugian Series,,,Zone V,not reported,terrestrial indet.,
28479,45.174999,59.783333,9,Olenekian,,251.2,247.2,RU,,,,,sandstone,fluvial indet.,
28614,152.907898,-27.607546,1,Carnian,,237,228,AU,Blackstone,Ipswich Coal Measures,,,siltstone,terrestrial indet.,
28624,100,64,5,Lopingian,Early Triassic,259.9,247.2,RU,Bugarikta,Konvunchana,Dvuroginskii,,siltstone,terrestrial indet.,
28630,100,64,1,Lopingian,Early Triassic,259.9,247.2,RU,Bugarikta,Konvunchana,Dvuroginskii,,not reported,terrestrial indet.,
28631,100,64,1,Lopingian,Early Triassic,259.9,247.2,RU,Bugarikta,Konvunchana,Dvuroginskii,,not reported,terrestrial indet.,
28850,55.308334,51.358334,16,Anisian,,247.2,242,RU,Donguz,,,Perovkan,sandstone,fluvial-deltaic indet.,
28854,48.351665,58.150002,16,Early Severodvinian,,265,252.3,RU,Urpalov,Kotelnich,Vanyushonki,Deltavjatia vjatkensis,claystone,terrestrial indet.,
28855,48.828609,55.017223,3,Late Severodvinian,Early Vyatkian,265,252.3,RU,,,,IV,sandstone,terrestrial indet.,100 specimens
29188,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29189,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29190,10,45,4,Anisian,,247.2,242,IT,Calcare di Dosso dei Morti,,,,"""carbonate""",,
29191,10,45,4,Anisian,,247.2,242,IT,Calcare di Angolo,,,,"""carbonate""",offshore indet.,
29192,10,45,3,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29193,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29194,10,45,2,Anisian,,247.2,242,IT,,,,,"""carbonate""",carbonate indet.,
29195,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29196,10,45,1,Anisian,,247.2,242,IT,Calcare di Prezzo,,,,"""carbonate""",,
29197,10,45,1,Anisian,,247.2,242,IT,Calcare di Prezzo,,,,"""carbonate""",,
29198,10,45,1,Anisian,,247.2,242,IT,Calcare di Prezzo,,,,"""carbonate""",,
29199,10,45,1,Anisian,,247.2,242,IT,Calcare di Prezzo,,,,"""carbonate""",,
29200,10,45,1,Anisian,,247.2,242,IT,Calcare di Prezzo,,,,"""carbonate""",carbonate indet.,
29201,10,45,1,Anisian,,247.2,242,IT,Calcare di Prezzo,,,,"""carbonate""",carbonate indet.,
29202,10,45,1,Anisian,,247.2,242,IT,Calcare di Prezzo,,,,"""carbonate""",carbonate indet.,
29203,10,45,1,Anisian,,247.2,242,IT,Calcare di Angolo,,,,"""carbonate""",,
29204,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29205,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29206,10,45,2,Anisian,,247.2,242,IT,Calcare di Angolo,,,,"""carbonate""",carbonate indet.,
29207,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29208,10,45,1,Anisian,,247.2,242,IT,Calcare di Dosso dei Morti,,,,"""carbonate""",,
29209,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29210,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29211,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29212,10,45,1,Anisian,,247.2,242,IT,Calcare di Angolo,,,,"""carbonate""",,
29213,10,45,1,Anisian,,247.2,242,IT,Calcare di Dosso dei Morti,,,,"""carbonate""",,
29214,10,45,1,Anisian,,247.2,242,IT,Calcare di Dosso dei Morti,,,,"""carbonate""",offshore indet.,
29215,10,45,3,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29216,10,45,2,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29217,10,45,2,Anisian,,247.2,242,IT,,,,,"""carbonate""",deep subtidal indet.,
29218,10,45,3,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29219,10,45,2,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29220,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29221,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29222,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29223,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29224,10,45,1,Anisian,,247.2,242,IT,,,,,"""carbonate""",,
29340,68.599998,36,5,Norian,Rhaetian,228,201.3,AF,,,,,,,
29341,67.5,35.299999,2,Norian,Rhaetian,228,201.3,AF,,,,,,,
29342,68,35.799999,4,Norian,Rhaetian,228,201.3,AF,,,,,,,
29343,68,35.799999,4,Norian,Rhaetian,228,201.3,AF,,,,,,,
29349,173,-80,10,Middle Triassic,,247.2,237,AA,,,,,,,
29350,159.699997,-75.699997,4,Early Triassic,,252.17,247.2,AA,,,,,,,
29364,159.699997,-75.699997,6,Late Triassic,,237,201.3,AA,,,,,,,
29372,-69.099998,-32,9,Late Triassic,,237,201.3,AR,Serie de Cacheuta,,,,,,
29383,-68,-48,6,Late Triassic,,237,201.3,AR,El Tranquilo,,,,,,
29384,-69.5,-35.599998,7,Middle Triassic,,247.2,237,AR,Serie de Llantenis,,Estratos del Chihuido,,,,
29403,-70.699997,-40.299999,18,Late Triassic,,237,201.3,AR,Paso Flores,,,,,,
29404,-69.099998,-33,39,Ladinian,Carnian,242,228,AR,Potrerillos,,,,,,
29405,-69.099998,-33,28,Late Triassic,,237,201.3,AR,Cacheuta,,,,,,
29410,-70.599998,-40.400002,17,Late Triassic,,237,201.3,AR,Paso Flores,,,,,,
29411,-70.5,-40.5,24,Late Triassic,,237,201.3,AR,Paso Flores,,,,,,
29414,46,39.5,14,Norian,Rhaetian,228,201.3,AM,,,,,,,
29416,147,-41.700001,6,Lopingian,,259.9,252.17,AU,Cygnet Coal Measures,,,,,,
29417,150.199997,-31,8,Lopingian,,259.9,252.17,AU,Black Jack Coal Measures,,,,,,
29421,152.5,-27.200001,24,Middle Triassic,,247.2,237,AU,,,,,not reported,marine indet.,
29423,152.699997,-29.9,26,Middle Triassic,,247.2,237,AU,,,,,not reported,marine indet.,
29427,149.800003,-32.5,11,Wuchiapingian,,259.9,254.17,AU,Illawarra Coal Measures,,,,,,
29433,150.899994,-34.400002,21,Lopingian,,259.9,252.17,AU,Illawara Coal Measures,,Upper,,,,
29443,151,-33,19,Lopingian,,259.9,252.17,AU,Newcastle Coal Measures equiv.,,,,,,
29451,152.800003,-31.6,18,Early Triassic,,252.17,247.2,AU,,Camden Haven,,,,,
29453,147.300003,-24.700001,20,Changhsingian,,254.17,252.17,AU,Bandanna,,,,,,
29454,148.800003,-23.299999,24,Changhsingian,,254.17,252.17,AU,Rangal Coal Measures,,,,,,
29456,148.800003,-23.299999,29,Wuchiapingian,,259.9,254.17,AU,Burngrove,,,,,,
29457,147.300003,-24.700001,32,Wuchiapingian,,259.9,254.17,AU,Black Alley Shale,,,,,,
29458,150,-25,11,Wuchiapingian,,259.9,254.17,AU,,,Kaloola,,,,
29474,-49.5,-28.299999,10,Wuchiapingian,Changhsingian,259.9,252.17,BR,Rio do Rasto,Passa Dois,Morro Pelado,,,,
29475,-53.700001,-29.6,12,Middle Triassic,,247.2,237,BR,Santa Maria,,,,,,
29481,-50,-27,21,Wuchiapingian,Changhsingian,259.9,252.17,BR,Rio do Rasto,Passa Dois,,,,,
29482,-50,-27,1,Wuchiapingian,,259.9,254.17,BR,Teresina,Passa Dois,,,,,
29494,-51,-25.5,45,Wuchiapingian,Changhsingian,259.9,252.17,BR,Rio do Rasto,Passa Dois,,,,,
29495,-51,-25.5,8,Wuchiapingian,,259.9,254.17,BR,Teresina,Passa Dois,,,,,
29502,-50.900002,-25.9,5,Wuchiapingian,Changhsingian,259.9,252.17,BR,Rio do Rasto,,,,,,
29507,-72.199997,-39.599998,5,Middle Triassic,Late Triassic,247.2,201.3,CL,Panguipulli,,,,,,
29508,-71.5,-32.299999,13,Norian,,228,208.5,CL,,,,,,,
29509,-69.300003,-26.1,2,Late Triassic,,237,201.3,CL,,,,,,,
29510,112.199997,34.5,7,Changhsingian,,254.17,252.17,CN,Shiqianfeng,,,,,,
29511,111.099998,39,2,Changhsingian,,254.17,252.17,CN,Sunjiagou,,,,,,
29512,108.599998,19.1,,Wuchiapingian,,259.9,254.17,CN,Nanlong,,,,,,
29513,97.699997,31.299999,36,Wuchiapingian,,259.9,254.17,CN,Toba,,,,,,
29514,129.600006,43.5,6,Carnian,,237,228,CN,Shanxianling,Daxinggou,,,,,
29515,105.699997,34.599998,8,Carnian,Rhaetian,237,201.3,CN,,Houlaomia,,,,,
29527,106.5,35.200001,21,Carnian,Rhaetian,237,201.3,CN,,Yanchang,,,,,
29536,113.800003,27.6,36,Norian,Rhaetian,228,201.3,CN,Anyuan,,,,,,
29553,117.900002,41,5,Early Triassic,,252.17,247.2,CN,Heshangzou,,,,,,
29568,115.800003,28.200001,38,Norian,Rhaetian,228,201.3,CN,,,,,,,
29585,109.900002,27.5,16,Norian,,228,208.5,CN,Dajingkou,,,,,,
29589,126.400002,41.900002,36,Carnian,Norian,237,208.5,CN,,,,,,,
29614,104.800003,36.700001,29,Carnian,Rhaetian,237,201.3,CN,Nanyonger,,,,,,
29615,125.800003,44.099998,7,Induan,,252.17,251.2,CN,Lujiatong,,,,,,
29617,112.300003,35.200001,8,Carnian,Norian,237,208.5,CN,Chuansuyao,,,,,,
29618,112.300003,35.200001,15,Early Triassic,,252.17,247.2,CN,Heshangzou,,,,,,
29619,112.300003,35.200001,35,Norian,Rhaetian,228,201.3,CN,Tanchuang,,,,,,
29620,112.300003,35.200001,11,Ladinian,,242,237,CN,Youfangzhuang,,,,,,
29636,113.599998,28.200001,22,Norian,,228,208.5,CN,Shanqiutian-Shanjiachong,,,,,,
29638,113.599998,28.200001,25,Carnian,,237,228,CN,Zhijiachong,,,,,,
29640,105.300003,24.799999,2,Lopingian,,259.9,252.17,CN,,,,,,,
29660,112.400002,33.5,12,Carnian,Rhaetian,237,201.3,CN,,,,,,,
29686,110,29.4,9,Norian,,228,208.5,CN,Yinzuishan,,,,,,
29689,118,28.5,19,Norian,Rhaetian,228,201.3,CN,Anyuan,,,,,,
29701,118.5,29.799999,20,Carnian,Rhaetian,237,201.3,CN,Anyuan,,,,,,
29704,94.199997,39.400002,6,Carnian,Rhaetian,237,201.3,CN,Sanhunjian,,,,,,
29705,99.400002,38.799999,35,Anisian,Ladinian,247.2,237,CN,Dingjiayao,,,,,,
29708,112.599998,37.799999,13,Carnian,,237,228,CN,,,,,,,
29715,129.600006,43.5,44,Norian,,228,208.5,CN,Malugou,,,,,,
29718,88.599998,42.799999,6,Anisian,Ladinian,247.2,237,CN,,,,,,,
29727,116,40,31,Carnian,Rhaetian,237,201.3,CN,Xinshikou,,,,,,
29751,115.400002,26,4,Norian,Rhaetian,228,201.3,CN,Anyuan,,,,,,
29757,106.900002,39.700001,4,Ladinian,,242,237,CN,Tongchuan,,,,,,
29758,107.400002,37.799999,11,Carnian,Rhaetian,237,201.3,CN,,Yanchang,,,,,
29759,88,43.900002,4,Wuchiapingian,,259.9,254.17,CN,,Upper Jijicao,,,,,
29761,100.199997,37.299999,13,Carnian,Rhaetian,237,201.3,CN,,Mele,,,,,
29762,105.699997,37.599998,4,Carnian,Rhaetian,237,201.3,CN,Nanyonger,,,,,,
29764,103.300003,29.6,44,Norian,Rhaetian,228,201.3,CN,,,,,,,
29768,89.199997,46.599998,9,Lopingian,,259.9,252.17,CN,,,,,,,
29771,100.199997,38.099998,6,Carnian,Rhaetian,237,201.3,CN,,Nanyongei,,,,,
29773,120.199997,30.799999,5,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,,,
29775,119.699997,29.799999,15,Wuchiapingian,,259.9,254.17,CN,Wulinshan,,,,,,
29777,118.599998,28.700001,9,Wuchiapingian,,259.9,254.17,CN,Wulinshan,,,,,,
29779,105.800003,32.400002,23,Norian,Rhaetian,228,201.3,CN,,,,,,,
29781,117.599998,25.5,34,Carnian,,237,228,CN,Daken,,,,,,
29782,117.599998,25.5,87,Norian,Rhaetian,228,201.3,CN,Wenbinshan,,,,,,
29785,117.400002,27.299999,29,Norian,Rhaetian,228,201.3,CN,Jiaoking,,,,,,
29788,117.099998,32.700001,10,Capitanian,Wuchiapingian,265.1,254.17,CN,,,,,,,
29789,117.099998,32.700001,10,Capitanian,Wuchiapingian,265.1,254.17,CN,,,,,,,
29790,120.099998,29.299999,16,Norian,Rhaetian,228,201.3,CN,Wuzao,,,,,,
29792,86.800003,33.599998,16,Changhsingian,,254.17,252.17,CN,Upper Rejuechaka,,,,,,
29794,118.699997,30.799999,14,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,,,
29797,119.400002,30.799999,8,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,,,
29801,89.400002,42.299999,22,Changhsingian,,254.17,252.17,CN,,,,,,,
29806,96.800003,33.099998,4,Wuchiapingian,,259.9,254.17,CN,,,,,,,
29815,114.900002,30.200001,7,Wuchiapingian,,259.9,254.17,CN,Longtan,,,,,,
29820,104.199997,26.299999,17,Lopingian,,259.9,252.17,CN,Xuanwei,,,,,,
29823,113.599998,25.1,11,Wuchiapingian,,259.9,254.17,CN,Dong,,,,,,
29824,113.599998,24.799999,13,Wuchiapingian,,259.9,254.17,CN,Dong,,,,,,
29825,116.099998,24.299999,8,Wuchiapingian,,259.9,254.17,CN,Cuipingshan,,,,,,
29826,129.800003,42.599998,23,Wuchiapingian,Changhsingian,259.9,252.17,CN,Kaishantun,,,,,,
29828,111,39.599998,5,Capitanian,Wuchiapingian,265.1,254.17,CN,,,,,,,
29832,128.199997,43.400002,13,Wuchiapingian,Changhsingian,259.9,252.17,CN,Qingouzhi,,,,,,
29833,112.300003,22.200001,8,Wuchiapingian,,259.9,254.17,CN,Shahu,,,,,,
29834,89,43.299999,10,Changhsingian,,254.17,252.17,CN,,Lower Cangfanggou,,,,,
